,Team,EffHgt,C-Hgt,Bench,Continuity,Experience
195,Arkansas Pine Bluff,+0.2,-0.4,43.7,3.5,0.66
196,Southern Utah,+0.2,-0.1,41.5,28.9,1.09
197,Stonehill,-0.7,-1.4,29.9,33.2,1.16
198,Delaware St.,+1.3,+0.8,23.2,37.1,1.63
199,Norfolk St.,+0.7,+1.1,34.8,44.6,2.14
200,Grambling St.,+0.3,+0.0,33.8,34.3,0.89
201,UC Irvine,+0.8,+2.6,30.1,42.6,1.74
202,Chicago St.,-1.7,-1.6,32.2,18.0,0.79
203,LSU,+0.4,+0.4,36.0,13.5,2.10
205,High Point,+0.7,+1.4,37.4,52.8,2.37
206,McNeese,-0.8,-0.7,34.4,41.4,2.76
207,Bradley,+1.2,+1.3,29.4,59.3,2.00
208,Lamar,+0.9,+0.6,30.5,46.7,1.20
209,UC Riverside,+1.1,+0.5,32.0,58.0,1.24
210,Hofstra,-0.5,+0.0,34.2,22.2,1.40
211,Siena,+0.7,+1.3,26.3,6.2,0.42
212,Murray St.,-1.1,-2.0,22.1,41.1,2.86
213,Valparaiso,+0.2,+0.3,28.1,36.2,1.40
214,San Jose St.,-0.7,+0.4,33.3,6.7,1.85
215,Oklahoma St.,-0.1,-0.3,42.4,17.9,2.84
216,Winthrop,-0.8,-1.4,34.1,57.1,2.66
217,Northern Colorado,-0.5,-0.4,26.2,48.5,2.13
218,N.C. State,-0.2,+0.5,33.5,41.3,2.46
219,Arkansas St.,-0.5,-0.3,30.7,44.1,2.06
220,Central Arkansas,+0.4,+0.1,35.9,16.5,0.68
221,Baylor,-0.7,-1.0,28.4,28.3,2.74
222,Louisiana Tech,-0.1,+0.7,27.2,40.2,1.21
223,California,+0.1,-0.0,32.5,0.5,2.31
224,Lindenwood,-1.0,+0.1,29.3,12.1,0.96
225,Sacramento St.,+0.2,+0.9,33.3,30.4,0.80
226,Florida Gulf Coast,-0.9,-1.1,27.7,36.1,2.17
227,Le Moyne,-0.3,-1.4,37.5,29.1,1.02
228,Robert Morris,-0.5,-0.7,26.8,11.7,1.44
229,James Madison,+0.4,+1.2,28.9,10.7,2.34
230,Tennessee Martin,-0.8,-1.6,39.9,0.0,0.29
231,Mount St. Mary's,-0.1,-0.7,28.2,34.5,1.41
232,Saint Louis,+0.2,+0.3,14.1,23.5,2.95
233,Cornell,-0.7,-0.8,30.0,58.6,1.43
234,LIU,-1.4,-1.4,28.6,9.7,1.06
235,Boston College,-0.5,-0.4,37.4,14.7,1.73
236,Canisius,-0.9,-1.4,22.9,12.6,1.20
237,VMI,-1.1,-1.4,24.5,10.5,0.74
238,UTEP,-0.8,-0.4,31.0,56.1,1.51
239,UMBC,-1.4,-1.7,28.7,51.2,1.72
240,Rider,-1.0,-0.7,29.7,33.9,1.70
241,Marist,-0.8,-1.1,30.3,51.6,1.18
242,Youngstown St.,+0.5,+2.0,33.5,14.5,1.88
243,Oakland,-1.7,-2.4,31.3,25.9,1.27
244,FIU,+0.1,+0.7,35.5,36.7,1.23
246,Duquesne,-0.1,-0.8,38.7,34.9,2.19
247,Houston,-0.6,-1.4,29.8,67.2,2.65
248,Sam Houston St.,+0.4,+0.8,31.9,34.3,1.35
249,La Salle,+0.1,-0.1,29.9,34.6,1.89
250,Coppin St.,-0.6,-1.4,33.9,18.6,0.82
251,Howard,-0.8,-1.1,22.8,31.0,1.80
252,Eastern Kentucky,-0.4,-0.8,32.1,23.5,1.45
253,Penn,-0.2,-0.1,32.9,46.8,1.51
254,Hampton,-0.7,-1.2,37.6,11.8,1.83
255,Sacred Heart,-1.3,-1.4,33.0,9.5,1.24
256,Southeastern Louisiana,-0.1,+0.9,28.3,21.6,2.14
257,UT Arlington,+0.5,+0.3,31.5,11.2,1.73
258,Idaho,-0.6,-1.0,33.0,33.6,0.72
259,Alabama A&M,+0.2,+0.6,43.8,33.8,0.86
260,Columbia,+0.0,+0.1,33.9,66.4,2.09
261,Maryland Eastern Shore,-0.5,-0.9,37.9,0.0,0.63
262,The Citadel,-1.6,-2.2,32.5,10.2,0.29
263,UAB,+0.3,-0.4,29.0,58.3,1.74
264,East Carolina,-1.3,-1.6,19.9,28.5,2.64
265,Bucknell,+0.9,+1.7,26.2,62.8,1.74
266,UMass Lowell,-1.3,-1.8,22.3,55.7,2.52
267,Massachusetts,-0.1,-0.0,31.9,50.6,1.31
268,Niagara,-1.0,-0.1,39.3,0.0,1.25
269,Lipscomb,+0.6,+0.6,23.2,41.5,2.68
270,Seattle,-0.1,-0.8,35.0,39.5,2.08
271,Gardner Webb,-0.8,-0.7,31.0,28.7,1.76
272,Cal St. Bakersfield,-1.5,-1.9,33.6,38.9,1.40
273,Tulsa,-0.5,-0.8,33.9,34.5,2.67
274,Ohio St.,-0.5,+0.0,27.9,30.6,2.16
275,Cal Baptist,-0.1,+0.1,35.3,25.1,2.10
276,Richmond,+1.1,+1.1,39.0,28.1,2.18
277,East Tennessee St.,-0.5,-0.1,30.4,61.8,1.99
278,Milwaukee,+0.1,-0.8,30.6,40.1,2.09
279,Wagner,-0.7,-0.8,36.9,45.0,1.90
280,Alabama St.,-0.4,+1.0,36.2,57.8,1.62
281,Wright St.,-1.1,-1.4,30.4,46.5,2.00
282,North Carolina Central,-1.2,-0.9,33.3,44.6,1.47
283,Harvard,-2.0,-2.6,24.7,39.3,1.30
284,IU Indy,-1.3,-1.8,22.2,0.0,0.26
285,Wichita St.,-0.3,+1.0,34.0,53.0,2.87
287,Nicholls,-0.9,-1.4,38.5,56.7,1.97
288,NJIT,-1.1,-1.6,30.4,33.1,0.65
289,South Florida,-0.3,+0.4,35.3,36.7,2.06
290,North Florida,-1.4,-1.9,32.1,46.7,1.53
291,Texas Tech,-0.3,+0.6,29.8,38.7,2.65
292,Northern Illinois,-1.5,-1.2,32.2,11.7,1.15
293,Eastern Illinois,-1.0,-1.3,29.1,34.4,1.05
294,Montana,-1.7,-1.2,29.6,25.8,2.59
295,North Dakota St.,-0.1,+0.6,28.4,41.7,1.49
296,Cleveland St.,-0.4,-0.5,27.6,33.7,1.82
297,UTSA,-0.5,+0.1,21.4,1.0,2.43
298,Illinois Chicago,-0.6,-0.4,31.3,21.5,1.95
299,Princeton,-0.6,-1.1,29.4,62.1,1.63
300,Bellarmine,-1.3,-1.9,43.9,27.7,1.33
301,Southern Indiana,-0.8,-0.9,29.8,30.7,1.08
302,Texas St.,-1.3,-1.5,38.1,42.6,1.90
303,American,-0.5,-0.6,32.5,74.7,2.54
304,Memphis,+0.0,+0.5,23.8,11.0,3.12
305,USC Upstate,-1.2,-1.4,36.7,0.1,0.01
306,Vanderbilt,-1.2,-1.9,38.0,2.4,2.38
307,Samford,-0.4,+0.3,37.1,30.0,1.91
308,New Mexico St.,+0.1,+0.4,33.8,30.1,1.72
309,Wofford,-1.0,-0.7,31.8,66.0,2.12
310,Iona,-0.5,-0.9,38.5,0.0,0.79
311,Mercer,-0.7,-1.1,27.0,18.4,1.55
312,North Carolina,-0.2,-0.2,30.0,47.4,2.26
313,Cal Poly,-2.4,-2.6,29.4,19.7,0.87
314,Northwestern St.,-0.5,-0.6,37.2,7.3,0.81
315,Dartmouth,-1.0,-1.4,26.5,50.5,1.58
316,St. Thomas,-1.0,-1.0,31.1,47.8,1.33
317,West Georgia,-1.4,-1.7,35.3,0.0,0.00
318,UC Davis,-0.8,-0.8,25.8,49.0,1.60
319,Fordham,-0.5,-0.6,32.2,49.4,1.88
320,Green Bay,-1.9,-1.9,38.0,35.4,1.18
