,team,conference,tempo_adj,off_eff_adj,def_eff_adj,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,EffHgt,C-Hgt,Bench,Continuity,Experience,3P%,FT%,3PA%,SOS
248,Rider,MAAC,0.3726708074534164,0.415217391304348,0.7372654155495981,0.33734939759036164,0.3650793650793652,0.5950413223140497,0.29019607843137263,0.6397058823529411,0.40740740740740744,0.5254237288135593,0.3023255813953489,0.2833333333333333,0.3066666666666667,0.48148148148148157,0.4538152610441767,0.467032967032967,0.33834586466165417,0.554621848739496,0.28228228228228236,0.17049808429118773
249,Robert Morris,Horz,0.5590062111801242,0.5304347826086959,0.46648793565683677,0.5542168674698793,0.47619047619047616,0.7231404958677684,0.6352941176470588,0.4338235294117645,0.6148148148148149,0.38983050847457634,0.38081395348837216,0.3666666666666667,0.3066666666666667,0.39197530864197544,0.15662650602409636,0.39560439560439553,0.6165413533834587,0.5462184873949583,0.48348348348348336,0.1781609195402299
250,Rutgers,B10,0.6086956521739131,0.7065217391304348,0.4504021447721178,0.5120481927710845,0.23015873015873012,0.537190082644628,0.5490196078431373,0.617647058823529,0.5111111111111111,0.6158192090395478,0.3953488372093024,0.6666666666666667,0.48000000000000004,0.7623456790123457,0.20214190093708165,0.4313186813186813,0.46616541353383445,0.53781512605042,0.46846846846846835,0.8001277139208174
251,SIUE,OVC,0.43478260869565233,0.4195652173913047,0.5013404825737267,0.4096385542168677,0.3650793650793652,0.5785123966942148,0.4274509803921569,0.2279411764705883,0.5037037037037038,0.4350282485875707,0.4738372093023257,0.55,0.4666666666666667,0.34567901234567905,0.4846050870147256,0.4203296703296703,0.5488721804511281,0.3739495798319332,0.46846846846846835,0.08716475095785442
252,SMU,ACC,0.5962732919254661,0.7391304347826086,0.34584450402144773,0.7590361445783134,0.38888888888888873,0.7809917355371901,0.5686274509803921,0.24999999999999956,0.548148148148148,0.5141242937853108,0.45348837209302334,0.8166666666666667,0.8266666666666667,0.6049382716049385,0.3855421686746988,0.7637362637362636,0.8195488721804511,0.5504201680672267,0.43243243243243246,0.5696040868454662
253,Sacramento St.,BSky,0.4161490683229818,0.2760869565217392,0.6890080428954426,0.35542168674698793,0.6190476190476192,0.39669421487603296,0.3568627450980393,0.7867647058823528,0.48888888888888893,0.3502824858757063,0.6482558139534884,0.48333333333333334,0.52,0.5925925925925926,0.40696117804551535,0.21978021978021978,0.33834586466165417,0.3865546218487399,0.7267267267267268,0.2627713920817369
254,Sacred Heart,MAAC,0.7080745341614909,0.48043478260869565,0.675603217158177,0.536144578313253,0.4126984126984127,0.56198347107438,0.16470588235294104,0.5441176470588234,0.5259259259259261,0.4802259887005649,0.31104651162790703,0.23333333333333334,0.21333333333333337,0.5833333333333335,0.12717536813922356,0.3406593406593406,0.5864661654135337,0.6092436974789917,0.7207207207207209,0.13729246487867178
255,Saint Francis,NEC,0.5031055900621126,0.37173913043478257,0.6675603217158179,0.572289156626506,0.5634920634920636,0.31404958677685946,0.0627450980392158,0.5073529411764701,0.4370370370370369,0.48587570621468923,0.3430232558139535,0.18333333333333335,0.18666666666666668,0.5030864197530864,0.37215528781793844,0.1758241758241758,0.5037593984962405,0.5672268907563027,0.6366366366366367,0.16060025542784165
256,Saint Joseph's,A10,0.5652173913043486,0.6152173913043482,0.35656836461126007,0.6024096385542168,0.32539682539682546,0.5206611570247933,0.39607843137254894,0.19852941176470607,0.41481481481481497,0.3389830508474576,0.26162790697674415,0.55,0.41333333333333333,0.25925925925925936,0.7188755020080322,0.6098901098901098,0.5488721804511281,0.6428571428571428,0.7747747747747749,0.40900383141762453
257,Saint Louis,A10,0.5279503105590058,0.5804347826086957,0.44772117962466496,0.8554216867469879,0.4841269841269843,0.23966942148760328,0.29803921568627456,0.30882352941176494,0.288888888888889,0.3728813559322035,0.21511627906976755,0.48333333333333334,0.44,0.0,0.31459170013386883,0.8104395604395604,0.6466165413533833,0.4369747899159666,0.8888888888888888,0.4901021711366539
258,Saint Mary's,WCC,0.1801242236024847,0.7108695652173915,0.1260053619302952,0.5301204819277108,0.2063492063492064,0.9380165289256198,0.36078431372549,0.13235294117647056,0.45185185185185195,0.19774011299435035,0.2354651162790698,0.6666666666666667,0.6000000000000001,0.16049382716049393,0.6265060240963854,0.4642857142857142,0.4436090225563909,0.4411764705882355,0.38138138138138133,0.5485312899106003
259,Saint Peter's,MAAC,0.31055900621118004,0.2673913043478262,0.5040214477211795,0.15662650602409656,0.6428571428571429,0.793388429752066,0.4901960784313726,0.21323529411764675,0.5333333333333332,0.5423728813559323,0.6017441860465116,0.4666666666666667,0.41333333333333333,0.45987654320987664,0.5421686746987951,0.32417582417582413,0.4135338345864663,0.6134453781512605,0.5345345345345345,0.14942528735632182
260,Sam Houston St.,CUSA,0.5403726708074537,0.6021739130434784,0.6380697050938338,0.536144578313253,0.46031746031746035,0.5165289256198348,0.552941176470588,0.6397058823529411,0.48888888888888893,0.6045197740112995,0.4738372093023257,0.5166666666666667,0.5066666666666667,0.5493827160493827,0.4591700133868808,0.37087912087912084,0.8721804511278193,0.5840336134453787,0.5375375375375375,0.508301404853129
261,Samford,SC,0.7515527950310563,0.6500000000000001,0.552278820375335,0.7530120481927711,0.46031746031746035,0.6942148760330579,0.27843137254901973,0.6470588235294117,0.837037037037037,0.6836158192090396,0.7238372093023255,0.38333333333333336,0.44,0.7098765432098768,0.40160642570281124,0.5247252747252746,0.7669172932330826,0.5504201680672267,0.780780780780781,0.29278416347381864
262,San Diego,WCC,0.7577639751552798,0.36521739130434816,0.619302949061662,0.21686746987951855,0.46825396825396803,0.4999999999999999,0.3254901960784313,0.7058823529411762,0.5925925925925926,0.576271186440678,0.8488372093023255,0.7666666666666666,0.5466666666666666,0.8364197530864199,0.3266398929049531,0.14835164835164835,0.22556390977443597,0.6764705882352939,0.45345345345345334,0.407088122605364
263,San Diego St.,MWC,0.44720496894409933,0.5913043478260869,0.1608579088471851,0.5180722891566267,0.3412698412698413,0.4752066115702479,0.38431372549019605,0.06617647058823506,0.6740740740740743,0.536723163841808,0.5901162790697676,0.75,0.6266666666666667,0.6111111111111112,0.16198125836680052,0.4203296703296703,0.4586466165413534,0.32352941176470607,0.5615615615615615,0.6564495530012772
264,San Francisco,WCC,0.5527950310559007,0.6326086956521741,0.30831099195710454,0.6566265060240966,0.3571428571428571,0.4628099173553718,0.5019607843137255,0.3161764705882355,0.5703703703703704,0.37853107344632786,0.5523255813953487,0.5666666666666667,0.5733333333333334,0.6080246913580247,0.5836680053547524,0.4862637362637362,0.5488721804511281,0.5336134453781516,0.6876876876876878,0.49776500638569604
265,San Jose St.,MWC,0.46583850931676984,0.5369565217391303,0.5335120643431637,0.5120481927710845,0.38888888888888873,0.371900826446281,0.3647058823529412,0.5514705882352939,0.4444444444444444,0.6101694915254239,0.34011627906976755,0.33333333333333337,0.45333333333333337,0.5925925925925926,0.08969210174029452,0.5082417582417582,0.6315789473684212,0.6092436974789917,0.6156156156156158,0.5287356321839081
266,Santa Clara,WCC,0.6211180124223601,0.7217391304347827,0.38069705093833806,0.8072289156626504,0.3571428571428571,0.6198347107438015,0.26274509803921564,0.375,0.4740740740740741,0.31073446327683607,0.43604651162790703,0.6833333333333333,0.6266666666666667,0.6512345679012348,0.9236947791164658,0.5851648351648351,0.8270676691729326,0.5798319327731094,0.7837837837837838,0.5105363984674329
267,Seattle,WAC,0.44099378881987583,0.4652173913043478,0.3994638069705094,0.2650602409638556,0.3571428571428571,0.4999999999999999,0.7882352941176469,0.5,0.7703703703703704,0.3163841807909604,0.5755813953488373,0.43333333333333335,0.29333333333333333,0.6450617283950619,0.5287817938420348,0.5714285714285714,0.3458646616541352,0.5168067226890756,0.46846846846846835,0.37547892720306514
268,Seton Hall,BE,0.3478260869565224,0.3500000000000003,0.39410187667560326,0.15662650602409656,0.5238095238095238,0.5537190082644626,0.41960784313725474,0.7499999999999996,0.8666666666666667,0.5875706214689267,0.6598837209302326,0.4666666666666667,0.4,0.808641975308642,0.2730923694779116,0.478021978021978,0.33834586466165417,0.3067226890756305,0.2942942942942943,0.6954022988505747
269,Siena,MAAC,0.5217391304347831,0.4391304347826088,0.60857908847185,0.43975903614457845,0.3730158730158729,0.4545454545454545,0.5921568627450979,0.5367647058823533,0.5703703703703704,0.48587570621468923,0.42151162790697677,0.5666666666666667,0.5733333333333334,0.37654320987654327,0.08299866131191433,0.11538461538461536,0.4586466165413534,0.6428571428571428,0.5765765765765767,0.16060025542784165
270,South Alabama,SB,0.2670807453416151,0.5391304347826089,0.42359249329758697,0.5240963855421685,0.16666666666666663,0.43388429752066104,0.44705882352941173,0.30147058823529393,0.7481481481481482,0.6101694915254239,0.2180232558139535,0.16666666666666669,0.08000000000000002,0.6265432098765433,0.20214190093708165,0.18956043956043953,0.37593984962406024,0.5000000000000004,0.7477477477477479,0.24361430395913153
271,South Carolina,SEC,0.4037267080745339,0.6043478260869566,0.3056300268096517,0.4096385542168677,0.46825396825396803,0.5206611570247933,0.8274509803921566,0.5220588235294117,0.37777777777777777,0.3333333333333335,0.39244186046511625,0.55,0.48000000000000004,0.5524691358024691,0.5890227576974565,0.5192307692307692,0.3684210526315792,0.5252100840336138,0.5495495495495495,0.8387611749680715
272,South Carolina St.,MEAC,0.6397515527950306,0.4347826086956521,0.46916890080428963,0.5240963855421685,0.5873015873015871,0.7396694214876033,0.8117647058823527,0.4191176470588234,0.9111111111111112,0.6384180790960454,0.875,0.43333333333333335,0.4666666666666667,0.9135802469135805,0.8755020080321286,0.36538461538461536,0.6015037593984967,0.47058823529411775,0.36936936936936937,0.10312899106002554
273,South Dakota,Sum,0.9813664596273286,0.5804347826086957,0.7479892761394105,0.4819277108433737,0.007936507936507908,0.5041322314049587,0.9098039215686273,0.7647058823529407,0.5037037037037038,0.8079096045197742,0.5319767441860466,0.35000000000000003,0.48000000000000004,0.7407407407407409,0.6559571619812583,0.5054945054945055,0.3684210526315792,0.5210084033613449,0.5045045045045045,0.2710727969348659
274,South Dakota St.,Sum,0.6273291925465845,0.5891304347826087,0.5227882037533513,0.6927710843373496,0.404761904761905,0.652892561983471,0.3529411764705881,0.47794117647058787,0.16296296296296298,0.0,0.3779069767441861,0.5666666666666667,0.6000000000000001,0.5277777777777779,0.2677376171352075,0.2115384615384615,0.6090225563909772,0.6848739495798322,0.5795795795795795,0.32120051085568324
275,South Florida,Amer,0.5838509316770191,0.4543478260869567,0.5040214477211795,0.4578313253012052,0.2936507936507936,0.40909090909090906,0.4980392156862743,0.3897058823529411,0.577777777777778,0.6666666666666667,0.5755813953488373,0.4,0.45333333333333337,0.654320987654321,0.4912985274431058,0.5659340659340659,0.3684210526315792,0.53781512605042,0.5075075075075075,0.3892081736909323
276,Southeast Missouri,OVC,0.6211180124223601,0.4173913043478261,0.4718498659517425,0.5542168674698793,0.23015873015873012,0.25619834710743794,0.26274509803921564,0.23529411764705888,0.6296296296296298,0.41242937853107353,0.752906976744186,0.33333333333333337,0.3866666666666667,0.5370370370370372,0.6091030789825971,0.24999999999999997,0.5864661654135337,0.53781512605042,0.45945945945945943,0.140485312899106
277,Southeastern Louisiana,Slnd,0.5031055900621126,0.4782608695652175,0.5308310991957104,0.4277108433734944,0.38888888888888873,0.5413223140495868,0.4901960784313726,0.5147058823529411,0.6148148148148149,0.45197740112994356,0.569767441860465,0.43333333333333335,0.52,0.4382716049382717,0.28915662650602414,0.5879120879120878,0.4285714285714284,0.651260504201681,0.3273273273273274,0.25255427841634737
278,Southern,SWAC,0.6024844720496896,0.3543478260869566,0.4584450402144773,0.30722891566265087,0.47619047619047616,0.6859504132231403,0.6235294117647059,0.3529411764705883,0.7851851851851852,0.4011299435028248,0.7383720930232558,0.23333333333333334,0.3066666666666667,1.0000000000000002,0.2824631860776439,0.18956043956043953,0.33834586466165417,0.27310924369747935,0.3783783783783783,0.1222860791826309
