,Team,3P%,FT%,3PA%
294,Grambling St.,31.7,72.0,35.4
295,South Dakota,31.7,71.6,37.4
296,South Carolina,31.6,71.0,37.9
297,Oklahoma St.,31.6,72.4,35.9
298,Sacramento St.,31.5,67.5,44.9
299,Youngstown St.,31.5,74.1,46.0
300,Fresno St.,31.5,69.5,35.4
301,Louisiana,31.5,73.2,38.2
302,Bethune Cookman,31.5,69.5,33.8
303,Army,31.4,68.6,41.2
304,Jackson St.,31.4,73.2,34.9
305,Seton Hall,31.4,66.7,30.5
306,Miami FL,31.4,77.3,39.1
307,Rider,31.4,71.7,30.2
308,East Texas A&M,31.4,64.7,48.3
309,UT Rio Grande Valley,31.4,70.9,49.0
310,VMI,31.3,77.0,47.7
311,Georgetown,31.3,70.4,36.9
312,Mississippi St.,31.2,69.5,42.0
313,Central Michigan,31.2,73.7,34.0
314,East Carolina,31.2,72.1,35.1
315,Tulsa,31.2,66.1,43.1
316,Arizona,31.2,78.0,35.2
317,La Salle,31.1,71.8,33.9
318,Southern Utah,31.1,73.5,32.4
319,LSU,31.1,72.5,43.3
320,Hawaii,31.0,73.9,36.9
321,Albany,31.0,72.9,35.5
322,Richmond,30.9,80.4,45.4
323,Charleston Southern,30.9,66.4,41.9
324,Morgan St.,30.8,71.9,21.8
325,Illinois,30.8,75.5,47.1
326,Arkansas Pine Bluff,30.8,59.5,37.6
328,Cal Baptist,30.8,75.9,34.4
329,Tennessee Martin,30.7,69.4,47.3
330,Charlotte,30.7,75.5,40.3
331,George Washington,30.7,70.1,41.8
332,New Orleans,30.7,66.7,30.7
333,Morehead St.,30.6,67.5,34.1
334,Texas A&M,30.6,69.4,37.6
335,Buffalo,30.6,69.1,44.1
336,New Mexico St.,30.5,68.4,37.5
337,LIU,30.4,73.1,33.5
338,Chicago St.,30.4,70.2,41.2
339,Troy,30.3,71.7,45.7
340,Alabama A&M,30.3,66.5,41.4
341,North Carolina A&T,30.2,68.3,35.8
342,NJIT,30.2,73.3,37.4
343,TCU,30.2,65.1,34.8
344,St. John's,30.2,68.7,30.8
345,Southern Miss,30.1,69.0,36.9
346,Kent St.,30.1,76.3,38.1
347,Evansville,30.1,70.4,41.0
348,Wichita St.,29.9,72.7,28.5
349,Maryland Eastern Shore,29.8,66.1,36.7
350,USC Upstate,29.8,67.8,36.7
351,Oakland,29.8,69.0,42.7
352,Central Arkansas,29.8,71.4,47.6
353,Western Carolina,29.7,73.9,48.2
354,Michigan St.,29.7,79.3,32.2
355,West Georgia,29.7,69.0,30.1
356,Quinnipiac,29.6,75.9,37.7
357,Kennesaw St.,29.6,72.2,45.4
358,Abilene Christian,29.5,71.4,25.8
359,The Citadel,29.4,63.3,45.5
360,Pacific,29.4,73.2,38.1
361,FIU,29.1,71.1,29.0
362,San Diego,29.0,74.9,36.0
363,Stephen F. Austin,28.8,62.7,36.4
364,Wake Forest,28.6,75.6,35.0
365,Coppin St.,28.4,67.9,32.5
366,Massachusetts,28.4,66.9,31.7
367,Western Michigan,28.2,67.4,32.0
368,Old Dominion,28.1,70.9,35.6
369,Mississippi Valley St.,27.3,66.6,30.3
370,Lindenwood,27.2,67.9,35.1
371,Cal St. Fullerton,26.8,74.0,33.5
