team,conference,tempo_adj,off_eff_adj,def_eff_adj,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,EffHgt,C-Hgt,Bench,Continuity,Experience,3P%,FT%,3PA%,SOS
IU Indy,Horz,65.2,109.1,122.4,49.9,15.9,30.8,34.5,56.4,15.9,33.2,35.4,-1.3,-1.8,22.0,0.0,0.26,36.1,75.0,47.5,-3.38
Idaho,BSky,66.3,109.2,117.9,52.5,18.1,29.4,33.3,54.0,15.4,32.5,37.3,-0.6,-1.0,33.1,33.0,0.71,35.6,76.0,48.1,-2.29
Idaho St.,BSky,66.2,106.4,108.7,48.2,16.6,38.4,35.1,52.9,17.9,26.4,33.4,0.3,0.8,22.4,22.5,0.67,32.1,73.8,36.6,-2.92
Illinois,B10,71.6,121.9,97.7,52.1,15.8,36.1,34.1,46.4,13.2,26.6,27.2,1.8,2.1,31.3,2.8,1.07,30.8,75.5,47.1,15.42
Illinois Chicago,MVC,69.5,108.6,108.3,51.7,17.6,30.4,35.2,51.7,15.9,27.9,32.5,-0.6,-0.4,31.1,21.5,1.95,34.3,72.5,39.5,2.53
Illinois St.,MVC,65.7,113.7,111.6,56.5,15.7,24.7,31.5,54.5,16.7,24.7,31.8,-0.9,-0.8,32.4,49.4,1.91,37.4,75.1,47.3,1.28
Incarnate Word,Slnd,64.5,107.5,113.9,52.0,17.9,34.1,26.6,52.5,17.1,30.3,34.5,-0.3,-0.8,27.1,28.2,1.85,36.3,68.0,36.4,-5.6
Indiana,B10,68.4,115.4,98.8,52.1,16.9,31.3,33.9,49.9,16.3,28.1,29.6,1.8,1.8,32.2,40.4,2.27,32.4,71.1,33.3,12.97
Indiana St.,MVC,72.4,109.0,112.2,54.4,19.7,26.5,35.7,54.0,15.9,27.0,39.8,-0.7,-0.7,36.0,3.1,1.11,34.9,75.8,50.3,0.53
Iona,MAAC,68.9,97.8,106.2,47.1,21.2,38.8,27.4,51.9,23.0,30.0,36.9,-0.4,-0.8,39.6,0.0,0.8,31.9,68.2,34.7,-6.63
Iowa,B10,70.0,118.1,107.0,56.3,14.0,25.3,26.5,54.8,18.7,32.1,26.5,0.4,-0.0,33.6,51.8,1.77,37.6,70.5,41.2,11.21
Iowa St.,B12,68.9,119.5,93.1,54.2,16.9,33.2,39.7,48.2,21.6,27.8,27.7,1.2,0.9,29.6,56.3,2.82,35.4,75.0,36.1,11.82
Jackson St.,SWAC,68.9,101.3,107.9,46.3,19.6,29.9,37.3,51.9,18.2,31.3,31.5,0.0,0.8,40.1,11.2,1.44,31.4,73.2,34.9,-0.03
