team,conference,tempo_adj,off_eff_adj,def_eff_adj,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,EffHgt,C-Hgt,Bench,Continuity,Experience,3P%,FT%,3PA%,SOS
Syracuse,ACC,68.7,110.7,107.3,51.0,17.6,31.0,32.9,52.8,13.8,26.2,31.6,0.7,1.1,35.5,29.9,2.43,32.9,70.6,32.7,8.53
TCU,B12,66.9,107.1,97.4,47.6,17.2,32.3,33.5,50.9,19.3,29.2,27.4,0.6,0.7,35.5,7.3,1.94,30.2,65.1,34.8,13.57
Tarleton St.,WAC,65.8,94.5,104.4,46.0,25.4,28.4,42.1,52.6,23.6,34.1,48.7,-1.3,-1.9,34.9,5.6,0.42,32.9,73.9,25.5,2.02
Temple,Amer,69.0,110.2,110.9,49.9,16.0,32.2,44.1,50.7,15.6,32.3,35.5,0.3,0.2,31.9,34.6,2.35,35.7,73.6,31.3,0.7
Tennessee,SEC,63.9,118.6,87.2,52.5,16.4,36.0,33.0,43.8,18.8,29.1,28.2,1.2,1.3,25.1,36.4,2.92,34.6,74.5,42.7,14.64
Tennessee Martin,OVC,66.9,100.8,111.9,47.2,19.6,33.9,34.8,51.9,18.9,30.1,34.5,-0.8,-1.6,39.9,0.0,0.3,30.7,69.4,47.3,-6.88
Tennessee St.,OVC,71.2,102.4,110.1,51.3,21.3,33.6,41.9,49.0,17.3,29.9,40.4,-0.1,0.3,34.0,2.5,0.97,32.4,68.3,33.8,-7.84
Tennessee Tech,OVC,68.1,101.4,113.7,50.7,17.4,25.0,29.1,49.7,15.1,32.0,22.1,-1.4,-1.6,32.6,36.1,0.92,34.7,70.5,46.0,-7.32
Texas,SEC,67.4,116.7,100.7,52.9,14.4,29.8,35.3,48.8,17.3,29.3,36.9,0.5,0.9,32.3,17.0,2.85,35.8,75.0,36.0,12.61
Texas A&M,SEC,66.8,115.9,93.0,47.6,18.3,41.6,41.0,48.1,20.2,28.2,35.0,-0.5,-0.9,39.5,68.6,2.97,30.6,69.4,37.6,16.01
Texas A&M Corpus Chris,Slnd,67.9,106.5,107.0,52.1,17.8,32.1,37.4,50.5,18.4,31.6,40.7,0.1,-0.8,45.0,53.8,1.36,34.2,62.4,28.4,-2.07
Texas Southern,SWAC,70.1,95.7,106.2,46.1,19.5,29.9,29.3,47.7,20.2,34.7,37.1,-0.0,0.1,41.4,41.2,1.77,31.8,73.0,35.8,-5.7
Texas St.,SB,66.0,111.1,113.6,51.1,18.1,35.0,36.3,50.2,15.9,31.5,42.0,-1.3,-1.5,38.4,42.7,1.9,36.4,76.4,28.2,-1.85
Texas Tech,B12,65.8,124.3,96.7,55.6,15.6,34.4,29.3,47.7,18.2,28.4,33.1,-0.3,0.6,29.2,39.1,2.67,37.4,77.0,43.7,10.75
The Citadel,SC,64.6,96.1,117.5,47.1,19.5,26.8,32.1,54.1,15.0,32.5,32.9,-1.6,-2.2,32.2,10.4,0.29,29.4,63.3,45.5,-2.26
Toledo,MAC,68.3,110.9,118.0,49.9,13.9,29.6,34.1,56.1,15.5,30.7,24.8,-0.3,-0.6,26.7,47.6,1.86,33.9,74.8,29.1,-2.09
Towson,CAA,63.7,106.8,105.8,47.7,14.7,34.9,28.4,50.1,17.5,28.3,30.5,-0.2,-0.4,35.9,74.6,2.17,33.1,68.7,37.5,-1.63
Troy,SB,66.2,106.9,101.8,49.9,20.6,39.0,36.2,48.0,20.3,31.5,28.9,-0.1,-0.8,36.1,66.0,1.08,30.3,71.7,45.7,-2.51
Tulane,Amer,67.1,108.1,107.4,51.5,16.1,27.2,35.8,48.5,17.8,31.4,32.9,0.0,-0.8,22.0,9.3,0.86,33.3,75.7,39.9,-1.89
Tulsa,Amer,66.3,100.7,110.8,49.3,17.2,28.0,33.1,50.0,14.6,30.8,32.3,-0.6,-0.8,35.7,34.2,2.65,31.2,66.1,43.1,-1.69
UAB,Amer,69.3,117.5,112.2,51.0,14.1,38.8,31.8,51.4,15.4,30.1,30.3,0.3,-0.4,30.0,58.6,1.75,34.7,75.3,29.0,-2.23
UC Davis,BW,67.5,97.2,102.9,46.2,19.6,27.7,39.0,48.8,22.3,34.1,40.2,-0.7,-0.7,25.4,48.8,1.6,31.8,74.2,35.3,0.26
UC Irvine,BW,68.9,105.6,94.1,50.7,18.5,28.2,36.3,45.0,17.8,26.3,21.7,0.7,2.5,31.8,43.1,1.76,34.6,79.7,35.1,0.62
UC Riverside,BW,67.4,110.7,108.8,49.3,16.1,32.8,27.7,51.8,15.9,28.5,32.9,1.1,0.5,32.0,57.8,1.24,33.8,76.3,41.8,3.08
UC San Diego,BW,66.2,116.3,97.7,55.8,13.5,25.7,33.4,48.9,23.5,27.3,29.7,-1.3,-1.5,23.7,42.8,1.11,36.8,74.5,49.1,-1.34
UC Santa Barbara,BW,65.4,109.4,107.6,55.5,18.5,27.5,29.1,48.5,17.2,28.8,31.5,0.9,1.1,29.7,36.4,2.57,39.2,77.4,46.2,-3.02
UCF,B12,72.1,115.6,105.3,48.8,16.5,32.4,35.7,51.8,18.3,34.6,31.6,1.8,3.1,28.5,21.9,2.25,32.9,77.7,40.6,12.24
UCLA,B10,64.9,116.5,95.0,52.9,16.1,32.4,33.5,49.8,23.1,29.6,35.3,1.2,1.4,35.5,34.4,2.23,35.2,70.5,35.6,12.23
UMBC,AE,70.9,107.2,118.4,55.4,16.1,19.4,32.0,54.2,17.5,33.4,27.9,-1.4,-1.7,28.8,50.8,1.72,38.1,70.4,38.6,-7.18
UMass Lowell,AE,69.1,109.5,115.2,54.3,17.6,26.0,32.5,51.4,15.0,31.1,24.8,-1.3,-1.8,23.0,55.6,2.52,34.2,77.5,34.7,-7.1
UNC Asheville,BSth,68.6,110.0,112.8,51.9,14.7,30.0,34.3,53.6,17.9,34.0,40.4,0.1,-0.5,20.6,39.8,2.2,34.3,72.5,35.0,-2.36
UNC Greensboro,SC,64.1,108.6,105.8,51.1,15.2,31.1,29.2,47.9,16.6,30.2,33.9,-0.7,-1.4,34.2,48.1,2.1,36.6,74.1,42.9,-1.29
UNC Wilmington,CAA,65.8,113.2,108.1,52.6,16.3,35.7,36.9,51.5,18.0,27.8,30.3,0.5,1.1,38.2,35.4,2.66,33.7,74.1,36.1,-4.09
UNLV,MWC,65.9,108.3,100.5,50.1,15.9,27.3,34.4,49.2,18.2,30.3,32.1,0.7,1.8,29.5,25.4,2.12,33.5,72.3,33.8,5.88
USC,B10,68.6,116.7,104.2,54.2,17.2,27.5,36.6,51.9,17.8,30.6,35.9,-0.4,-0.7,26.6,0.3,2.53,36.0,73.6,33.8,12.27
USC Upstate,BSth,72.9,99.5,116.4,50.1,19.0,25.2,30.4,56.3,16.5,32.1,39.9,-1.3,-1.4,36.8,0.1,0.01,29.8,67.8,36.7,-0.01
UT Arlington,WAC,67.9,107.6,112.0,51.8,19.4,32.3,37.5,50.2,16.5,32.1,33.9,0.5,0.3,31.2,11.2,1.74,35.5,66.3,42.1,-1.34
UT Rio Grande Valley,Slnd,70.7,104.7,111.0,51.4,19.0,30.7,23.2,51.6,17.8,33.7,29.3,-1.6,-1.4,29.4,6.7,1.74,31.4,70.9,49.0,-2.74
UTEP,CUSA,68.7,106.1,105.2,49.7,16.6,24.3,37.8,51.4,22.3,32.6,39.8,-0.8,-0.4,30.9,56.1,1.51,34.7,71.6,36.0,2.34
UTSA,Amer,70.3,107.7,110.4,49.6,16.0,26.9,28.8,53.6,20.5,35.3,44.1,-0.5,0.0,21.9,1.0,2.44,35.9,81.3,44.7,2.13
Utah,B12,68.8,113.6,102.0,52.6,17.8,33.9,36.8,47.9,15.6,28.7,32.7,2.1,2.1,41.4,33.4,2.04,33.2,63.8,43.4,10.27
Utah St.,MWC,68.2,121.0,106.3,56.2,15.9,33.8,38.1,52.2,20.1,29.9,33.8,0.4,1.1,36.0,34.7,2.16,36.1,70.1,41.3,6.37
Utah Tech,WAC,67.5,103.2,114.5,49.2,18.3,26.7,33.6,53.1,17.5,34.2,38.7,-1.5,-1.8,26.6,36.5,1.66,33.5,68.9,40.0,0.77
Utah Valley,WAC,68.1,106.6,103.0,50.8,16.4,30.3,39.2,48.3,17.2,26.7,31.1,0.5,0.2,37.1,34.2,0.77,33.6,68.5,31.2,-1.24
VCU,A10,66.5,117.0,95.7,53.2,16.8,36.3,31.1,44.8,21.0,28.7,36.8,1.3,0.6,34.6,52.0,2.64,34.6,73.9,47.4,0.69
VMI,SC,68.5,100.8,111.9,47.9,17.9,25.4,37.4,55.0,17.9,31.7,29.1,-1.1,-1.4,25.4,10.6,0.73,31.3,77.0,47.7,-1.71
Valparaiso,MVC,68.7,106.6,112.1,47.7,14.2,26.7,35.6,54.4,17.5,29.3,34.7,0.1,0.3,27.7,35.8,1.4,31.8,78.9,38.4,-0.03
Vanderbilt,SEC,69.4,119.9,102.1,52.3,14.5,32.7,33.0,52.9,20.3,29.6,37.3,-1.2,-1.9,38.7,2.3,2.39,32.8,74.8,40.2,12.84
Vermont,AE,62.5,100.3,105.6,48.8,16.8,26.2,30.1,49.2,16.3,26.0,27.2,-0.1,-0.9,29.2,62.6,2.44,32.4,72.1,43.1,-5.57
Villanova,BE,63.2,119.7,104.6,55.4,15.7,30.4,27.2,50.6,15.9,27.8,30.9,0.3,0.5,20.4,24.8,2.87,40.3,81.5,43.6,7.96
Virginia,ACC,61.3,111.8,105.6,53.0,16.2,22.4,26.7,50.8,15.3,28.6,28.7,1.4,1.1,33.7,41.6,1.5,37.7,75.2,43.2,9.67
Virginia Tech,ACC,65.4,108.4,106.9,51.8,19.6,31.6,30.8,52.4,16.2,28.3,31.5,0.2,0.1,39.6,14.8,1.04,36.1,72.3,40.1,6.69
Wagner,NEC,60.4,93.2,111.5,44.0,19.4,31.5,29.3,50.3,17.9,25.1,41.0,-0.7,-0.9,36.8,45.2,1.9,32.5,71.1,37.4,-10.03
Wake Forest,ACC,67.3,109.2,98.6,50.4,16.7,26.6,36.9,47.5,19.8,31.2,31.7,0.6,1.3,21.5,51.8,2.14,28.6,75.6,35.0,7.8
Washington,B10,68.2,110.0,104.0,50.8,17.6,28.1,34.5,52.4,16.8,28.3,35.8,0.5,0.0,33.7,10.5,2.5,34.4,69.1,35.5,12.81
Washington St.,WCC,70.4,111.8,108.2,56.5,20.7,31.8,31.9,51.5,17.2,33.2,32.3,1.5,1.3,30.5,4.5,1.69,36.4,71.0,41.4,4.69
Weber St.,BSky,65.8,102.1,113.6,50.2,17.1,25.3,34.4,53.5,16.2,30.6,37.7,0.7,1.4,36.2,41.2,1.76,32.0,69.5,37.3,-1.72
West Georgia,ASun,68.3,97.4,115.7,47.2,16.2,26.1,28.8,56.1,16.6,29.2,36.3,-1.4,-1.7,35.3,0.0,0.0,29.7,69.0,30.1,-1.82
West Virginia,B12,64.4,110.2,94.6,50.0,15.7,25.3,25.7,46.2,19.1,30.5,31.0,0.2,-0.2,27.5,0.0,2.14,32.6,72.7,46.2,14.21
Western Carolina,SC,70.9,95.9,113.2,45.4,19.3,26.2,27.0,51.5,13.8,29.7,33.7,0.6,0.3,34.2,9.8,0.56,29.7,73.9,48.2,1.03
Western Illinois,OVC,64.5,99.6,117.8,50.2,18.2,27.9,27.2,51.1,14.4,31.8,30.6,-0.6,-1.0,23.8,21.9,1.28,37.4,69.2,37.1,-7.57
Western Kentucky,CUSA,72.4,104.5,102.6,48.4,15.9,23.2,32.6,47.1,17.1,27.9,40.8,-0.2,0.2,37.5,56.0,1.76,32.3,72.8,39.6,3.42
Western Michigan,MAC,68.1,101.6,113.2,46.9,16.0,35.1,31.3,55.3,16.4,26.6,33.3,0.7,0.1,36.3,31.8,1.21,28.2,67.4,32.0,-3.51
Wichita St.,Amer,68.7,108.0,105.0,49.3,16.5,32.1,35.0,50.3,15.6,28.1,27.3,-0.3,0.9,32.8,52.5,2.87,29.9,72.7,28.5,1.63
William & Mary,CAA,71.3,108.7,112.9,54.2,18.3,26.0,35.6,52.9,17.6,30.7,35.5,-0.6,-1.3,39.9,43.0,1.77,34.6,72.6,51.6,-2.23
Winthrop,BSth,72.9,109.1,109.9,53.0,17.7,31.5,48.5,52.1,19.1,31.4,36.6,-0.8,-1.3,34.3,57.2,2.65,33.0,67.1,37.4,-3.58
Wisconsin,B10,67.7,124.0,97.3,54.9,14.3,27.9,33.6,48.2,14.8,26.3,27.0,1.4,2.2,30.8,47.1,2.62,35.4,83.3,47.8,13.14
Wofford,SC,64.4,112.2,109.5,52.6,17.4,35.7,29.0,51.6,14.9,26.5,35.5,-1.0,-0.7,31.6,65.8,2.12,33.5,66.5,47.2,0.22
Wright St.,Horz,67.8,109.5,114.0,55.8,17.6,27.7,27.8,52.7,14.4,27.7,34.4,-1.1,-1.4,30.6,46.9,2.0,38.8,69.5,37.3,-2.95
Wyoming,MWC,65.1,104.7,106.2,50.9,20.1,29.6,31.1,51.3,15.3,26.7,40.5,0.2,0.3,38.5,9.8,1.79,35.4,65.5,40.0,6.01
Xavier,BE,69.2,114.9,98.3,53.6,16.4,25.2,37.7,49.8,17.8,26.1,28.2,0.5,0.1,24.5,26.2,3.54,38.7,79.0,37.7,9.53
Yale,Ivy,68.0,115.9,104.8,54.9,14.8,34.1,31.5,48.6,15.9,25.7,29.6,-0.7,-0.8,30.7,52.7,1.69,38.0,74.0,31.8,-2.45
Youngstown St.,Horz,69.7,103.0,106.5,50.2,17.6,29.0,35.9,48.7,18.1,31.6,35.9,0.5,2.0,34.0,14.5,1.87,31.5,74.1,46.0,-4.92
